level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7017	4963	-1	
2	1	1	0	0	0	385	782	6226	3538	-1	
3	1	1	1	0	0	385	782	6590	3631	-1	
4	1	1	1	1	0	3008	782	2678	68	-1	
5	1	1	1	1	1	3008	782	252	67	96.982216	Напрям
5	1	1	1	1	2	3286	795	573	55	96.464111	транспортування
5	1	1	1	1	3	3889	795	73	40	93.274506	на
5	1	1	1	1	4	3988	795	230	40	91.930618	силоса
5	1	1	1	1	5	5266	816	40	27	35.632210	43
5	1	1	1	1	6	5648	819	38	27	26.577148	ча
4	1	1	1	2	0	3238	855	2481	145	-1	
5	1	1	1	2	1	3238	855	613	145	35.044205	«з
5	1	1	1	2	2	5325	938	34	2	68.983307	-
5	1	1	1	2	3	5441	876	278	87	35.213806	ДЗ
4	1	1	1	3	0	5255	1027	680	56	-1	
5	1	1	1	3	1	5255	1027	457	56	25.861008	РИ
5	1	1	1	3	2	5666	993	71	94	26.580086	|
5	1	1	1	3	3	5798	1039	137	39	38.451836	+3300
4	1	1	1	4	0	3341	1072	2490	62	-1	
5	1	1	1	4	1	3341	1090	42	27	90.085739	H5
5	1	1	1	4	2	5126	1105	68	27	96.614929	6.16
5	1	1	1	4	3	5255	1072	308	62	30.398270	ТА
5	1	1	1	4	4	5732	1095	99	21	84.118332	—
4	1	1	1	5	0	1444	1116	4268	131	-1	
5	1	1	1	5	1	1444	1165	43	27	51.051373	Ms
5	1	1	1	5	2	5156	1116	556	131	27.200073	TTT
4	1	1	1	6	0	3343	1191	2354	65	-1	
5	1	1	1	6	1	3343	1192	168	64	3.471764	СЫ
5	1	1	1	6	2	5270	1191	163	56	45.056728	ИХ
5	1	1	1	6	3	5566	1201	131	46	34.337959	ро
4	1	1	1	7	0	1463	1250	4472	66	-1	
5	1	1	1	7	1	1463	1259	167	57	30.615150	TON
5	1	1	1	7	2	3003	1262	129	32	57.909843	+30,000
5	1	1	1	7	3	3171	1216	22	86	71.623795	|
5	1	1	1	7	4	3214	1216	72	86	52.267990	ГО
5	1	1	1	7	5	3342	1250	214	41	9.662811	ПНІ
5	1	1	1	7	6	3515	1216	43	86	91.711479	|
5	1	1	1	7	7	5270	1250	427	50	18.876205	РАТИ
5	1	1	1	7	8	5659	1216	75	89	52.153427	||
5	1	1	1	7	9	5798	1262	137	39	66.165802	+30,000
4	1	1	1	8	0	1125	1295	4706	71	-1	
5	1	1	1	8	1	1125	1337	129	27	73.565254	90
5	1	1	1	8	2	1331	1290	73	87	68.007339	Г
5	1	1	1	8	3	1336	1320	338	46	43.429298	МЕ
5	1	1	1	8	4	3006	1300	183	40	25.274879	"у
5	1	1	1	8	5	3205	1261	64	94	35.169556	Г
5	1	1	1	8	6	3217	1295	339	56	27.879227	|
5	1	1	1	8	7	5270	1295	427	56	41.066803	ey
5	1	1	1	8	8	5654	1258	65	97	9.518372	ОЇ
5	1	1	1	8	9	5732	1318	99	21	66.020355	2
4	1	1	1	9	0	1188	1350	4648	82	-1	
5	1	1	1	9	1	1188	1359	119	55	40.650658	|
5	1	1	1	9	2	1336	1354	338	56	33.804794	НА
5	1	1	1	9	3	3228	1350	59	70	49.233696	о
5	1	1	1	9	4	3332	1354	112	56	53.519630	ЖІ
5	1	1	1	9	5	3502	1354	39	56	87.262695	|
5	1	1	1	9	6	5178	1354	211	65	57.717037	о
5	1	1	1	9	7	5499	1354	87	73	48.869038	ПО
5	1	1	1	9	8	5652	1354	44	78	54.911819	—
5	1	1	1	9	9	5793	1358	43	26	92.334465	на
4	1	1	1	10	0	1336	1385	4359	100	-1	
5	1	1	1	10	1	1336	1414	338	11	34.513641	УРАН
5	1	1	1	10	2	3003	1426	129	27	80.987503	+27,800
5	1	1	1	10	3	3166	1406	23	65	86.961884	|
5	1	1	1	10	4	3210	1406	55	65	83.381470	||
5	1	1	1	10	5	3286	1414	28	41	62.126453	|
5	1	1	1	10	6	3329	1406	33	65	41.659298	7"
5	1	1	1	10	7	3378	1406	37	65	37.015377	It
5	1	1	1	10	8	3443	1414	39	41	15.661209	IT
5	1	1	1	10	9	3508	1414	33	41	58.795795	|
5	1	1	1	10	10	5141	1401	48	27	45.090717	24
5	1	1	1	10	11	5255	1389	68	73	44.942150	ПА
5	1	1	1	10	12	5357	1389	32	80	46.919685	я
5	1	1	1	10	13	5447	1385	248	100	28.139206	ПО
4	1	1	1	11	0	1351	1429	4232	145	-1	
5	1	1	1	11	1	1351	1429	323	145	28.408722	СІЧ
5	1	1	1	11	2	3007	1448	182	55	31.645172	и
5	1	1	1	11	3	3232	1458	309	41	28.229362	ГУИН:
5	1	1	1	11	4	5141	1453	48	27	64.602974	66
5	1	1	1	11	5	5255	1451	134	34	24.031013	І-І
5	1	1	1	11	6	5446	1447	137	38	34.645325	(ВИ
4	1	1	1	12	0	1874	1480	4061	51	-1	
5	1	1	1	12	1	1874	1480	54	27	96.376633	ти
5	1	1	1	12	2	3232	1503	308	11	43.740746	АН
5	1	1	1	12	3	3700	1483	39	27	80.265434	17
5	1	1	1	12	4	5199	1488	190	41	37.747383	Se
5	1	1	1	12	5	5481	1488	105	41	16.563858	ВН
5	1	1	1	12	6	5696	1488	1	41	16.563858	|
5	1	1	1	12	7	5806	1500	129	31	58.379707	426,800
4	1	1	1	13	0	1351	1492	4570	126	-1	
5	1	1	1	13	1	1351	1552	193	66	15.534966	ву
5	1	1	1	13	2	3217	1514	622	91	42.696949	pee
5	1	1	1	13	3	5116	1492	581	115	22.142647	ИРЕН
5	1	1	1	13	4	5732	1538	189	39	25.856491	К
4	1	1	1	14	0	1125	1589	4572	78	-1	
5	1	1	1	14	1	1125	1589	182	78	51.258968	в
5	1	1	1	14	2	1351	1590	2190	73	34.852341	БА
5	1	1	1	14	3	3301	1585	698	89	19.105103	|і
5	1	1	1	14	4	5333	1589	364	74	46.951073	ИЕ
4	1	1	1	15	0	1351	1667	4584	60	-1	
5	1	1	1	15	1	1351	1667	4346	60	25.892944	ИИ
5	1	1	1	15	2	5663	1634	74	97	52.120323	||
5	1	1	1	15	3	5806	1679	129	31	48.799980	24400
4	1	1	1	16	0	1351	1681	4480	161	-1	
5	1	1	1	16	1	1351	1681	308	161	9.361191	О
5	1	1	1	16	2	1679	1681	1534	109	0.000000	жж
5	1	1	1	16	3	3232	1681	309	161	42.364216	вії
5	1	1	1	16	4	3560	1681	1691	109	0.000000	ПУЧЧИНИ
5	1	1	1	16	5	5273	1598	22	248	32.147408	=
5	1	1	1	16	6	5270	1711	561	56	21.457062	У
4	1	1	1	17	0	1123	1768	4463	32	-1	
5	1	1	1	17	1	1123	1768	129	31	92.716232	+23,200
5	1	1	1	17	2	3080	1771	49	21	96.166428	200
5	1	1	1	17	3	5446	1771	101	29	41.830326	часа
5	1	1	1	17	4	5556	1771	30	6	41.830326	З
4	1	1	1	18	0	1218	1771	4618	85	-1	
5	1	1	1	18	1	1218	1824	90	21	45.966751	С
5	1	1	1	18	2	1351	1785	308	71	45.966751	ДНИ
5	1	1	1	18	3	3232	1785	242	71	45.278366	ДАІ
5	1	1	1	18	4	5158	1806	41	27	84.569809	в
5	1	1	1	18	5	5257	1767	38	89	84.287018	|
5	1	1	1	18	6	5324	1771	34	81	68.471657	Ш
5	1	1	1	18	7	5361	1771	475	71	30.489914	ИИ”
4	1	1	1	19	0	3232	1841	2703	69	-1	
5	1	1	1	19	1	3232	1860	24	22	89.797668	7
5	1	1	1	19	2	5255	1845	100	61	36.485199	ря
5	1	1	1	19	3	5412	1841	52	69	43.773228	ee
5	1	1	1	19	4	5636	1845	61	41	61.466286	|
5	1	1	1	19	5	5806	1857	129	31	89.049255	+22,000
4	1	1	1	20	0	5263	1949	197	37	-1	
5	1	1	1	20	1	5263	1981	3	3	78.429634	|
5	1	1	1	20	2	5270	1949	190	37	76.515503	23%
5	1	1	1	20	3	5426	1943	38	49	43.575169	|
4	1	1	1	21	0	5270	1949	427	98	-1	
5	1	1	1	21	1	5270	1949	427	98	40.272350	И
4	1	1	1	22	0	5270	2035	665	44	-1	
5	1	1	1	22	1	5270	2038	427	41	17.169785	SPIE}
5	1	1	1	22	2	5806	2035	129	32	59.588280	+9400
4	1	1	1	23	0	5255	2080	576	111	-1	
5	1	1	1	23	1	5255	2080	442	111	25.902946	а
5	1	1	1	23	2	5615	2039	78	156	35.073021	ни
5	1	1	1	23	3	5733	2092	98	21	47.375244	р
4	1	1	1	24	0	4722	2142	724	66	-1	
5	1	1	1	24	1	4722	2181	68	27	40.612358	nig
5	1	1	1	24	2	5263	2142	183	45	35.449013	ЕП»
4	1	1	1	25	0	4451	2266	636	67	-1	
5	1	1	1	25	1	4451	2292	111	26	92.467369	+16,300
5	1	1	1	25	2	4797	2266	23	67	51.460949	|
5	1	1	1	25	3	4864	2270	77	52	16.915146	зе
5	1	1	1	25	4	4992	2270	15	59	38.051548	Д
5	1	1	1	25	5	5035	2285	52	42	65.267761	ЕН
