level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4963	3509	-1	
2	1	1	0	0	0	2868	180	92	49	-1	
3	1	1	1	0	0	2868	180	92	49	-1	
4	1	1	1	1	0	2868	180	92	49	-1	
5	1	1	1	1	1	2868	180	92	49	96.443924	Код
2	1	2	0	0	0	2217	211	296	51	-1	
3	1	2	1	0	0	2217	211	296	51	-1	
4	1	2	1	1	0	2217	211	296	51	-1	
5	1	2	1	1	1	2217	211	107	48	96.348969	Тип,
5	1	2	1	1	2	2348	221	165	41	96.385040	марка,
2	1	3	0	0	0	3650	224	204	45	-1	
3	1	3	1	0	0	3650	224	204	45	-1	
4	1	3	1	1	0	3650	224	204	45	-1	
5	1	3	1	1	1	3650	224	204	45	96.801994	Одиниця
2	1	4	0	0	0	4177	217	132	41	-1	
3	1	4	1	0	0	4177	217	132	41	-1	
4	1	4	1	1	0	4177	217	132	41	-1	
5	1	4	1	1	1	4177	217	132	41	96.792252	Маса
2	1	5	0	0	0	2751	240	326	50	-1	
3	1	5	1	0	0	2751	240	326	50	-1	
4	1	5	1	1	0	2751	240	326	50	-1	
5	1	5	1	1	1	2751	240	326	50	96.376762	обладнання,
2	1	6	0	0	0	3292	248	175	49	-1	
3	1	6	1	0	0	3292	248	175	49	-1	
4	1	6	1	1	0	3292	248	175	49	-1	
5	1	6	1	1	1	3292	248	175	49	91.354218	Завод-
2	1	7	0	0	0	301	273	198	49	-1	
3	1	7	1	0	0	301	273	198	49	-1	
4	1	7	1	1	0	301	273	198	49	-1	
5	1	7	1	1	1	301	273	198	49	96.506561	Позиція
2	1	8	0	0	0	708	271	1117	53	-1	
3	1	8	1	0	0	708	271	1117	53	-1	
4	1	8	1	1	0	708	271	1117	53	-1	
5	1	8	1	1	1	708	271	383	53	96.393639	Найменування
5	1	8	1	1	2	1112	282	54	30	96.589378	та
5	1	8	1	1	3	1185	271	219	41	96.266174	технічна
5	1	8	1	1	4	1423	282	402	41	96.298325	характеристика
2	1	9	0	0	0	2063	282	604	42	-1	
3	1	9	1	0	0	2063	282	604	42	-1	
4	1	9	1	1	0	2063	282	604	42	-1	
5	1	9	1	1	1	2063	282	299	30	95.854759	позначення
