level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7017	4963	-1	
2	1	1	0	0	0	3018	237	1497	48	-1	
3	1	1	1	0	0	3018	237	1497	48	-1	
4	1	1	1	1	0	3018	237	1497	48	-1	
5	1	1	1	1	1	3018	238	115	37	96.925262	План
5	1	1	1	1	2	3153	238	272	47	96.072800	розміщення
5	1	1	1	1	3	3443	238	346	37	96.496704	технологічного
5	1	1	1	1	4	3807	237	278	45	96.376511	обладнання
5	1	1	1	1	5	4105	247	51	28	96.498825	на
5	1	1	1	1	6	4176	238	95	44	93.100441	відм
5	1	1	1	1	7	4290	269	5	6	91.827240	.
5	1	1	1	1	8	4316	238	149	43	89.481270	+0,000
5	1	1	1	1	9	4487	248	28	27	96.849388	м
2	1	2	0	0	0	3469	427	48	16	-1	
3	1	2	1	0	0	3469	427	48	16	-1	
4	1	2	1	1	0	3469	427	48	16	-1	
5	1	2	1	1	1	3469	427	48	16	95.493546	4350
2	1	3	0	0	0	3696	427	47	16	-1	
3	1	3	1	0	0	3696	427	47	16	-1	
4	1	3	1	1	0	3696	427	47	16	-1	
5	1	3	1	1	1	3696	427	47	16	96.661087	4350
2	1	4	0	0	0	3595	605	22	38	-1	
3	1	4	1	0	0	3595	605	22	38	-1	
4	1	4	1	1	0	3595	605	22	38	-1	
5	1	4	1	1	1	3595	605	22	38	41.616764	и
2	1	5	0	0	0	3595	645	22	10	-1	
3	1	5	1	0	0	3595	645	22	10	-1	
4	1	5	1	1	0	3595	645	22	10	-1	
5	1	5	1	1	1	3595	645	22	10	44.508091	ри
2	1	6	0	0	0	2462	716	935	2	-1	
3	1	6	1	0	0	2462	716	935	2	-1	
4	1	6	1	1	0	2462	716	935	2	-1	
5	1	6	1	1	1	2462	716	935	2	60.090900	|
2	1	7	0	0	0	2718	731	33	14	-1	
3	1	7	1	0	0	2718	731	33	14	-1	
4	1	7	1	1	0	2718	731	33	14	-1	
5	1	7	1	1	1	2718	731	33	14	93.743118	1:10
2	1	8	0	0	0	3395	703	241	24	-1	
3	1	8	1	0	0	3395	703	241	24	-1	
4	1	8	1	1	0	3395	703	241	24	-1	
5	1	8	1	1	1	3395	703	16	24	73.913651	1
5	1	8	1	1	2	3427	709	20	10	73.913651	©
5	1	8	1	1	3	3500	716	42	2	79.027321	—
5	1	8	1	1	4	3573	706	63	20	59.069275	094
2	1	9	0	0	0	3667	709	344	10	-1	
3	1	9	1	0	0	3667	709	344	10	-1	
4	1	9	1	1	0	3667	709	344	10	-1	
5	1	9	1	1	1	3663	700	28	28	34.884789	ДА
5	1	9	1	1	2	3707	700	23	28	30.375336	ПО
5	1	9	1	1	3	3817	716	1	2	52.190544	Б
5	1	9	1	1	4	3835	700	8	28	25.029144	У
5	1	9	1	1	5	3855	716	156	2	45.460617	р
2	1	10	0	0	0	4042	716	220	2	-1	
3	1	10	1	0	0	4042	716	220	2	-1	
4	1	10	1	1	0	4042	716	220	2	-1	
5	1	10	1	1	1	4038	699	17	28	35.502129	ДА
5	1	10	1	1	2	4062	716	200	2	28.463982	 .—_
5	1	10	1	1	3	4206	699	14	28	36.948856	.
5	1	10	1	1	4	4234	699	31	28	64.526169	_J
2	1	11	0	0	0	3111	758	66	21	-1	
3	1	11	1	0	0	3111	758	66	21	-1	
4	1	11	1	1	0	3111	758	66	21	-1	
5	1	11	1	1	1	3111	758	66	21	44.785923	(70,109)
2	1	12	0	0	0	3478	760	48	17	-1	
3	1	12	1	0	0	3478	760	48	17	-1	
4	1	12	1	1	0	3478	760	48	17	-1	
5	1	12	1	1	1	3478	760	48	17	96.786346	4000
2	1	13	0	0	0	3595	738	22	39	-1	
3	1	13	1	0	0	3595	738	22	39	-1	
4	1	13	1	1	0	3595	738	22	39	-1	
5	1	13	1	1	1	3595	738	22	39	71.764671	й
