level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4963	3509	-1	
2	1	1	0	0	0	897	68	41	29	-1	
3	1	1	1	0	0	897	68	41	29	-1	
4	1	1	1	1	0	897	68	41	29	-1	
5	1	1	1	1	1	897	68	41	29	79.401375	H1
2	1	2	0	0	0	1139	68	46	29	-1	
3	1	2	1	0	0	1139	68	46	29	-1	
4	1	2	1	1	0	1139	68	46	29	-1	
5	1	2	1	1	1	1139	68	46	29	91.862770	H3
2	1	3	0	0	0	1370	68	46	29	-1	
3	1	3	1	0	0	1370	68	46	29	-1	
4	1	3	1	1	0	1370	68	46	29	-1	
5	1	3	1	1	1	1370	68	46	29	94.648270	НА
2	1	4	0	0	0	2279	98	675	44	-1	
3	1	4	1	0	0	2279	98	675	44	-1	
4	1	4	1	1	0	2279	98	675	44	-1	
5	1	4	1	1	1	2279	98	140	35	96.624596	Схема
5	1	4	1	1	2	2436	98	326	35	96.619370	технологічного
5	1	4	1	1	3	2779	107	175	35	96.552124	процесу
2	1	5	0	0	0	839	116	161	35	-1	
3	1	5	1	0	0	839	116	161	35	-1	
4	1	5	1	1	0	839	116	161	35	-1	
5	1	5	1	1	1	839	116	60	29	96.352425	100
5	1	5	1	1	2	913	116	87	35	96.002167	т/год
2	1	6	0	0	0	1081	116	161	35	-1	
3	1	6	1	0	0	1081	116	161	35	-1	
4	1	6	1	1	0	1081	116	161	35	-1	
5	1	6	1	1	1	1081	116	60	29	96.455009	100
5	1	6	1	1	2	1155	116	87	35	96.185875	т/год
2	1	7	0	0	0	1312	116	161	35	-1	
3	1	7	1	0	0	1312	116	161	35	-1	
4	1	7	1	1	0	1312	116	161	35	-1	
5	1	7	1	1	1	1312	116	60	29	96.455009	100
5	1	7	1	1	2	1386	116	87	35	96.185875	т/год
2	1	8	0	0	0	920	272	72	7	-1	
3	1	8	1	0	0	920	272	72	7	-1	
4	1	8	1	1	0	920	272	72	7	-1	
5	1	8	1	1	1	920	272	72	7	51.002472	——»
2	1	9	0	0	0	1162	261	73	22	-1	
3	1	9	1	0	0	1162	261	73	22	-1	
4	1	9	1	1	0	1162	261	73	22	-1	
5	1	9	1	1	1	1162	261	73	22	43.104103	LX
2	1	10	0	0	0	1393	261	73	22	-1	
3	1	10	1	0	0	1393	261	73	22	-1	
4	1	10	1	1	0	1393	261	73	22	-1	
5	1	10	1	1	1	1393	261	73	22	42.610481	У
2	1	11	0	0	0	1393	327	33	28	-1	
3	1	11	1	0	0	1393	327	33	28	-1	
4	1	11	1	1	0	1393	327	33	28	-1	
5	1	11	1	1	1	1393	327	33	28	80.410423	7
2	1	12	0	0	0	1508	314	53	29	-1	
3	1	12	1	0	0	1508	314	53	29	-1	
4	1	12	1	1	0	1508	314	53	29	-1	
5	1	12	1	1	1	1508	314	53	29	96.951492	6.5
2	1	13	0	0	0	2150	365	150	21	-1	
3	1	13	1	0	0	2150	365	150	21	-1	
4	1	13	1	1	0	2150	365	150	21	-1	
5	1	13	1	1	1	2150	365	150	21	0.000000	—_CH
2	1	14	0	0	0	2687	356	46	12	-1	
3	1	14	1	0	0	2687	356	46	12	-1	
4	1	14	1	1	0	2687	356	46	12	-1	
5	1	14	1	1	1	2687	356	46	12	42.642059	рн
5	1	14	1	1	2	2729	352	8	24	67.769409	/
2	1	15	0	0	0	1986	395	44	28	-1	
3	1	15	1	0	0	1986	395	44	28	-1	
4	1	15	1	1	0	1986	395	44	28	-1	
5	1	15	1	1	1	1986	395	44	28	88.534348	T7
2	1	16	0	0	0	2600	377	150	21	-1	
3	1	16	1	0	0	2600	377	150	21	-1	
4	1	16	1	1	0	2600	377	150	21	-1	
5	1	16	1	1	1	2600	377	150	21	0.000000	ччЧНУНО
2	1	17	0	0	0	1466	421	52	29	-1	
3	1	17	1	0	0	1466	421	52	29	-1	
4	1	17	1	1	0	1466	421	52	29	-1	
5	1	17	1	1	1	1466	421	52	29	96.014351	6.4
2	1	18	0	0	0	1162	467	76	29	-1	
3	1	18	1	0	0	1162	467	76	29	-1	
4	1	18	1	1	0	1162	467	76	29	-1	
5	1	18	1	1	1	1162	467	76	29	50.955574	Г
2	1	19	0	0	0	1305	437	52	29	-1	
3	1	19	1	0	0	1305	437	52	29	-1	
4	1	19	1	1	0	1305	437	52	29	-1	
5	1	19	1	1	1	1305	437	52	29	96.305107	6.3
2	1	20	0	0	0	1933	442	161	35	-1	
3	1	20	1	0	0	1933	442	161	35	-1	
4	1	20	1	1	0	1933	442	161	35	-1	
5	1	20	1	1	1	1933	443	60	29	95.619385	100
5	1	20	1	1	2	2007	442	87	35	96.228409	т/год
2	1	21	0	0	0	2375	452	47	29	-1	
3	1	21	1	0	0	2375	452	47	29	-1	
4	1	21	1	1	0	2375	452	47	29	-1	
5	1	21	1	1	1	2375	452	47	29	84.649124	Н5
2	1	22	0	0	0	902	483	27	35	-1	
3	1	22	1	0	0	902	483	27	35	-1	
4	1	22	1	1	0	902	483	27	35	-1	
5	1	22	1	1	1	902	483	27	35	56.358662	x
2	1	23	0	0	0	2699	508	22	26	-1	
3	1	23	1	0	0	2699	508	22	26	-1	
4	1	23	1	1	0	2699	508	22	26	-1	
5	1	23	1	1	1	2699	508	22	26	88.416359	У
2	1	24	0	0	0	1226	510	52	29	-1	
3	1	24	1	0	0	1226	510	52	29	-1	
4	1	24	1	1	0	1226	510	52	29	-1	
5	1	24	1	1	1	1226	510	52	29	96.011826	6.2
2	1	25	0	0	0	2317	500	161	35	-1	
3	1	25	1	0	0	2317	500	161	35	-1	
4	1	25	1	1	0	2317	500	161	35	-1	
5	1	25	1	1	1	2317	500	60	29	96.501945	100
5	1	25	1	1	2	2391	500	87	35	96.405174	т/год
2	1	26	0	0	0	2608	513	38	29	-1	
3	1	26	1	0	0	2608	513	38	29	-1	
4	1	26	1	1	0	2608	513	38	29	-1	
5	1	26	1	1	1	2608	513	38	29	96.697884	10
2	1	27	0	0	0	989	546	46	29	-1	
3	1	27	1	0	0	989	546	46	29	-1	
4	1	27	1	1	0	989	546	46	29	-1	
5	1	27	1	1	1	989	546	46	29	96.064865	6.1
2	1	28	0	0	0	2642	569	52	29	-1	
3	1	28	1	0	0	2642	569	52	29	-1	
4	1	28	1	1	0	2642	569	52	29	-1	
5	1	28	1	1	1	2642	569	52	29	96.235123	6.8
2	1	29	0	0	0	2405	583	52	29	-1	
3	1	29	1	0	0	2405	583	52	29	-1	
4	1	29	1	1	0	2405	583	52	29	-1	
5	1	29	1	1	1	2405	583	52	29	96.602119	6.6
2	1	30	0	0	0	3179	635	66	29	-1	
3	1	30	1	0	0	3179	635	66	29	-1	
4	1	30	1	1	0	3179	635	66	29	-1	
5	1	30	1	1	1	3179	635	66	29	91.662415	T10
2	1	31	0	0	0	2567	616	330	129	-1	
3	1	31	1	0	0	2567	616	332	129	-1	
4	1	31	1	1	0	2567	616	330	129	-1	
5	1	31	1	1	1	2567	637	131	75	25.540634	Тр
5	1	31	1	1	2	2724	616	173	129	32.074059	рр
2	1	32	0	0	0	3126	683	161	35	-1	
3	1	32	1	0	0	3126	683	161	35	-1	
4	1	32	1	1	0	3126	683	161	35	-1	
5	1	32	1	1	1	3126	683	60	29	96.680191	100
5	1	32	1	1	2	3199	683	88	35	95.586922	т/год
2	1	33	0	0	0	1700	728	44	29	-1	
3	1	33	1	0	0	1700	728	44	29	-1	
4	1	33	1	1	0	1700	728	44	29	-1	
5	1	33	1	1	1	1700	728	44	29	89.817581	T8
2	1	34	0	0	0	3194	750	73	15	-1	
3	1	34	1	0	0	3194	750	73	15	-1	
4	1	34	1	1	0	3194	750	73	15	-1	
5	1	34	1	1	1	3190	739	25	30	74.895355	—
5	1	34	1	1	2	3237	750	30	15	81.501350	=
2	1	35	0	0	0	1647	775	161	35	-1	
3	1	35	1	0	0	1647	775	161	35	-1	
4	1	35	1	1	0	1647	775	161	35	-1	
5	1	35	1	1	1	1647	776	60	29	96.627129	100
5	1	35	1	1	2	1720	775	88	35	95.988571	т/год
2	1	36	0	0	0	3256	782	150	21	-1	
3	1	36	1	0	0	3256	782	150	21	-1	
4	1	36	1	1	0	3256	782	150	21	-1	
5	1	36	1	1	1	3256	782	150	21	0.000000	—_CH
2	1	37	0	0	0	2344	777	110	50	-1	
3	1	37	1	0	0	2344	777	110	50	-1	
4	1	37	1	1	0	2344	777	110	50	-1	
5	1	37	1	1	1	2344	777	110	50	36.856888	г
2	1	38	0	0	0	1416	859	46	12	-1	
3	1	38	1	0	0	1416	859	46	12	-1	
4	1	38	1	1	0	1416	859	46	12	-1	
5	1	38	1	1	1	1416	859	46	12	58.258968	UST
2	1	39	0	0	0	1695	836	74	15	-1	
3	1	39	1	0	0	1695	836	74	15	-1	
4	1	39	1	1	0	1695	836	74	15	-1	
5	1	39	1	1	1	1695	836	74	15	56.913582	<—
2	1	40	0	0	0	3581	840	19	28	-1	
3	1	40	1	0	0	3581	840	19	28	-1	
4	1	40	1	1	0	3581	840	19	28	-1	
5	1	40	1	1	1	3581	840	19	28	91.474579	7
2	1	41	0	0	0	3692	842	74	29	-1	
3	1	41	1	0	0	3692	842	74	29	-1	
4	1	41	1	1	0	3692	842	74	29	-1	
5	1	41	1	1	1	3692	842	74	29	95.902206	6.10
2	1	42	0	0	0	1399	878	150	21	-1	
3	1	42	1	0	0	1399	878	150	21	-1	
4	1	42	1	1	0	1399	878	150	21	-1	
