level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7017	4963	-1	
2	1	1	0	0	0	2952	165	1624	55	-1	
3	1	1	1	0	0	2952	165	1624	55	-1	
4	1	1	1	1	0	2952	165	1624	55	-1	
5	1	1	1	1	1	2952	166	134	43	96.584740	План
5	1	1	1	1	2	3110	166	318	54	96.826843	розміщення
5	1	1	1	1	3	3448	166	406	43	96.807594	технологічного
5	1	1	1	1	4	3874	165	325	52	96.380981	обладнання
5	1	1	1	1	5	4222	177	59	32	93.036255	на
5	1	1	1	1	6	4302	177	274	40	92.934158	естакадах
2	1	2	0	0	0	3443	322	345	19	-1	
3	1	2	1	0	0	3443	322	345	19	-1	
4	1	2	1	1	0	3443	322	345	19	-1	
5	1	2	1	1	1	3443	322	48	16	96.926193	План
5	1	2	1	1	2	3500	326	21	12	96.770180	на
5	1	2	1	1	3	3529	322	46	19	93.297440	відм.
5	1	2	1	1	4	3583	322	75	18	91.649788	+24,400
5	1	2	1	1	5	3666	326	18	14	93.294922	м,
5	1	2	1	1	6	3692	322	75	18	92.054237	+25,600
5	1	2	1	1	7	3776	326	12	12	96.664574	м
2	1	3	0	0	0	4620	322	345	19	-1	
3	1	3	1	0	0	4620	322	345	19	-1	
4	1	3	1	1	0	4620	322	345	19	-1	
5	1	3	1	1	1	4620	322	49	16	96.650391	План
5	1	3	1	1	2	4677	326	21	12	96.650391	на
5	1	3	1	1	3	4706	322	46	19	93.241920	відм.
5	1	3	1	1	4	4760	322	75	18	91.527840	+25,600
5	1	3	1	1	5	4844	326	17	14	93.296295	м,
5	1	3	1	1	6	4869	322	75	18	92.044044	+26,800
5	1	3	1	1	7	4953	326	12	12	96.708656	м
2	1	4	0	0	0	3514	369	46	16	-1	
3	1	4	1	0	0	3514	369	46	16	-1	
4	1	4	1	1	0	3514	369	46	16	-1	
5	1	4	1	1	1	3514	369	46	16	96.882210	3800
2	1	5	0	0	0	3702	369	45	16	-1	
3	1	5	1	0	0	3702	369	45	16	-1	
4	1	5	1	1	0	3702	369	45	16	-1	
5	1	5	1	1	1	3702	369	45	16	96.695831	2400
2	1	6	0	0	0	4785	355	45	15	-1	
3	1	6	1	0	0	4785	355	45	15	-1	
4	1	6	1	1	0	4785	355	45	15	-1	
5	1	6	1	1	1	4785	355	45	15	94.751404	6200
2	1	7	0	0	0	3529	443	83	25	-1	
3	1	7	1	0	0	3529	443	83	25	-1	
4	1	7	1	1	0	3529	443	83	25	-1	
5	1	7	1	1	1	3529	443	83	25	30.373154	124400)
2	1	8	0	0	0	3690	443	84	25	-1	
