level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7017	4963	-1	
2	1	1	0	0	0	385	782	6245	3422	-1	
3	1	1	1	0	0	385	782	6245	3422	-1	
4	1	1	1	1	0	3008	782	2659	68	-1	
5	1	1	1	1	1	3008	782	252	67	96.811867	Напрям
5	1	1	1	1	2	3286	795	573	55	96.806168	транспортування
5	1	1	1	1	3	3889	782	91	63	96.638351	від
5	1	1	1	1	4	4004	782	246	53	96.561462	силосів
5	1	1	1	1	5	5249	816	43	27	85.723434	H3
5	1	1	1	1	6	5629	819	38	27	47.038918	НІ
4	1	1	1	2	0	3232	876	2487	148	-1	
5	1	1	1	2	1	3232	896	611	93	0.000000	а
5	1	1	1	2	2	5325	876	394	148	14.879318	оранж
4	1	1	1	3	0	5255	992	680	91	-1	
5	1	1	1	3	1	5255	1027	159	56	36.773411	re
5	1	1	1	3	2	5440	994	80	88	45.847874	FT
5	1	1	1	3	3	5647	992	65	76	51.483479	З
5	1	1	1	3	4	5806	1039	129	31	92.500854	+33,000
4	1	1	1	4	0	3341	1072	2490	62	-1	
5	1	1	1	4	1	3341	1090	42	27	83.854324	H5
5	1	1	1	4	2	5126	1105	68	27	54.459023	вв
5	1	1	1	4	3	5249	1068	38	73	54.974209	Г
5	1	1	1	4	4	5255	1072	576	62	36.568584	Их
4	1	1	1	5	0	1444	1116	4268	104	-1	
5	1	1	1	5	1	1444	1165	43	27	89.890160	не
5	1	1	1	5	2	5156	1116	281	104	4.106918	ЙО
5	1	1	1	5	3	5674	1116	38	83	76.970261	|
4	1	1	1	6	0	3343	1162	2360	85	-1	
