level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4963	3509	-1	
2	1	1	0	0	0	215	467	4707	2612	-1	
3	1	1	1	0	0	215	467	4707	2612	-1	
4	1	1	1	1	0	3596	467	1120	40	-1	
5	1	1	1	1	1	3596	467	38	23	59.881268	HS
5	1	1	1	1	2	3663	488	38	4	21.068199	я
5	1	1	1	1	3	4225	478	91	23	93.304153	Плани
5	1	1	1	1	4	4328	478	122	29	91.231354	норійної
5	1	1	1	1	5	4460	478	59	23	96.819115	вежі
5	1	1	1	1	6	4530	484	53	21	96.521324	для
5	1	1	1	1	7	4595	478	68	29	92.657364	норії
5	1	1	1	1	8	4701	478	15	23	92.323349	Н5
4	1	1	1	2	0	3486	550	984	42	-1	
5	1	1	1	2	1	3486	550	151	36	44.897964	О
5	1	1	1	2	2	3761	550	25	36	87.438652	|
5	1	1	1	2	3	3871	561	115	27	92.728622	+30,000
4	1	1	1	3	0	3486	589	1162	50	-1	
5	1	1	1	3	1	3486	589	170	37	29.309479	о
5	1	1	1	3	2	3670	589	116	50	34.845398	С
5	1	1	1	3	3	3811	594	162	35	36.526215	о
5	1	1	1	3	4	4340	590	63	20	96.874588	План
5	1	1	1	3	5	4414	595	28	15	96.874588	на
5	1	1	1	3	6	4452	595	60	18	93.302765	відм.
5	1	1	1	3	7	4523	589	99	24	92.298042	+23,200
5	1	1	1	3	8	4632	595	16	14	96.837601	м
4	1	1	1	4	0	3495	691	1177	56	-1	
5	1	1	1	4	1	3495	691	67	53	36.124977	ро
5	1	1	1	4	2	3574	691	147	53	25.926193	Ш,рр
5	1	1	1	4	3	3746	695	27	37	77.761246	|
5	1	1	1	4	4	3871	706	115	28	92.269264	+27,800
5	1	1	1	4	5	4562	708	48	17	54.073647	1500
5	1	1	1	4	6	4629	685	12	66	54.073647	|
5	1	1	1	4	7	4654	710	18	37	64.082916	з
4	1	1	1	5	0	3402	726	1270	116	-1	
5	1	1	1	5	1	3402	753	37	23	93.172562	17
5	1	1	1	5	2	3499	726	286	116	23.228333	Е:
5	1	1	1	5	3	3807	732	166	66	47.297405	Ne
5	1	1	1	5	4	4654	752	18	6	59.844341	7
4	1	1	1	6	0	3402	787	1299	41	-1	
5	1	1	1	6	1	3402	797	50	23	81.072578	ти
5	1	1	1	6	2	3645	787	56	39	47.086620	ПР
5	1	1	1	6	3	3842	791	54	24	90.113846	T10
5	1	1	1	6	4	4515	793	43	33	68.937645	Е
5	1	1	1	6	5	4684	805	17	23	79.304710	з
4	1	1	1	7	0	3486	787	1215	130	-1	
5	1	1	1	7	1	3486	802	86	61	4.404541	Я
5	1	1	1	7	2	3621	787	35	130	27.236412	В
5	1	1	1	7	3	3624	787	362	94	44.706749	що
5	1	1	1	7	4	4044	783	53	104	40.246529	|
5	1	1	1	7	5	4172	814	159	48	33.608353	4
5	1	1	1	7	6	4684	830	17	25	56.772903	i
4	1	1	1	8	0	3927	865	660	23	-1	
5	1	1	1	8	1	3927	871	4	8	66.150742	,
5	1	1	1	8	2	4189	865	398	23	31.750511	я
5	1	1	1	8	3	4371	857	99	38	36.200325	Ta
5	1	1	1	8	4	4520	857	71	38	60.162895	+]
4	1	1	1	9	0	3499	840	1064	94	-1	
5	1	1	1	9	1	3499	844	274	86	45.652534	ПНА
5	1	1	1	9	2	3753	840	48	94	76.512451	|
5	1	1	1	9	3	3847	885	126	35	33.724716	2
5	1	1	1	9	4	4185	840	144	94	29.798706	Пи
4	1	1	1	10	0	328	926	3373	101	-1	
5	1	1	1	10	1	328	926	3127	79	33.128273	И
5	1	1	1	10	2	3499	933	202	94	45.171719	|
4	1	1	1	11	0	306	996	3680	54	-1	
5	1	1	1	11	1	306	1004	96	37	51.479408	JT
5	1	1	1	11	2	468	996	132	54	29.796822	Tif
5	1	1	1	11	3	671	996	72	54	60.808495	TT
5	1	1	1	11	4	783	996	41	54	60.166996	ft
5	1	1	1	11	5	869	996	72	54	30.787666	TT
5	1	1	1	11	6	986	1006	10	33	31.950409	J
5	1	1	1	11	7	1062	1004	132	37	14.468109	ЕЕ
5	1	1	1	11	8	1260	1004	133	37	46.128914	РЕ
5	1	1	1	11	9	1463	1004	122	37	48.147835	ЕЕ
5	1	1	1	11	10	1656	1004	127	37	50.966827	РЕ
5	1	1	1	11	11	1854	996	86	54	50.966827	РЕ
5	1	1	1	11	12	1985	1004	189	37	48.136040	РЕ
5	1	1	1	11	13	2309	1000	131	41	60.752075	ЕЕ
5	1	1	1	11	14	2469	1004	106	37	27.324020	ЕЕ
5	1	1	1	11	15	2646	996	91	54	45.082516	РЕ
5	1	1	1	11	16	2768	1004	132	37	54.269829	РЕ
5	1	1	1	11	17	3002	1004	175	37	36.493984	ЕЕ
5	1	1	1	11	18	3303	996	86	54	17.415077	ЕЕ
5	1	1	1	11	19	3402	996	80	54	42.436314	ЕЕ
5	1	1	1	11	20	3664	1030	73	14	29.318558	i
5	1	1	1	11	21	3871	1010	115	28	90.873253	+23,200
4	1	1	1	12	0	328	1030	3645	51	-1	
5	1	1	1	12	1	328	1042	589	39	46.678509	|||
5	1	1	1	12	2	977	1042	19	39	86.153091	|
5	1	1	1	12	3	1263	1042	447	39	5.441010	РРР
5	1	1	1	12	4	1877	1042	31	26	64.333923	Е
5	1	1	1	12	5	2020	1042	166	18	45.147377	РЕ
5	1	1	1	12	6	2379	1042	188	18	45.147377	Е
5	1	1	1	12	7	2816	1042	44	23	35.442741	я
5	1	1	1	12	8	2974	1042	197	18	56.606884	РЕ
5	1	1	1	12	9	3249	1030	247	38	34.704140	РР
5	1	1	1	12	10	3652	1030	85	30	40.723644	Ш
5	1	1	1	12	11	3811	1043	162	36	32.780426	о
4	1	1	1	13	0	1074	1063	2699	25	-1	
5	1	1	1	13	1	1074	1069	23	16	37.866013	Г
5	1	1	1	13	2	1137	1063	42	22	31.282257	т
5	1	1	1	13	3	1235	1063	38	18	53.345951	Я
5	1	1	1	13	4	1291	1063	19	18	51.465233	И
5	1	1	1	13	5	1317	1047	50	45	51.174957	ро
5	1	1	1	13	6	1388	1047	57	45	58.057205	ро
5	1	1	1	13	7	1478	1063	24	18	42.347698	О
5	1	1	1	13	8	1520	1063	42	18	34.850494	О
5	1	1	1	13	9	1591	1047	49	45	67.607346	ро
5	1	1	1	13	10	1677	1063	23	18	31.445389	О
5	1	1	1	13	11	1718	1063	42	18	34.193985	О
5	1	1	1	13	12	1831	1063	38	18	38.847893	Е
5	1	1	1	13	13	1876	1063	23	18	32.437302	О
5	1	1	1	13	14	1917	1063	42	18	31.808823	О
5	1	1	1	13	15	1985	1047	53	45	36.082031	Ро
5	1	1	1	13	16	2075	1063	23	18	14.954483	О
5	1	1	1	13	17	2116	1063	42	18	27.055183	О
5	1	1	1	13	18	2183	1047	57	45	33.061989	ро
5	1	1	1	13	19	2326	1063	57	18	39.084873	Я
5	1	1	1	13	20	2588	1047	192	45	33.783951	cel
5	1	1	1	13	21	2802	1047	57	45	51.368095	ЕЯ
5	1	1	1	13	22	2873	1063	24	18	41.677593	И
5	1	1	1	13	23	2948	1063	76	18	46.082684	О
5	1	1	1	13	24	3061	1063	27	18	38.873215	О
5	1	1	1	13	25	3106	1047	53	45	25.217514	ОР
5	1	1	1	13	26	3177	1047	50	45	60.901154	Ро
5	1	1	1	13	27	3263	1063	24	18	42.471600	О
5	1	1	1	13	28	3305	1063	42	18	26.524231	О
5	1	1	1	13	29	3376	1047	49	45	57.878021	Ро
5	1	1	1	13	30	3499	1063	274	25	36.095638	О
5	1	1	1	13	31	3680	1047	19	45	12.878426	я
4	1	1	1	14	0	229	1063	3263	112	-1	
5	1	1	1	14	1	229	1094	18	24	83.379501	з
5	1	1	1	14	2	306	1063	3186	112	33.565140	ee
4	1	1	1	15	0	360	1198	4176	85	-1	
5	1	1	1	15	1	360	1198	78	84	73.595543	Й
5	1	1	1	15	2	927	1235	51	22	77.473465	2
5	1	1	1	15	3	1219	1235	52	22	43.661575	м
5	1	1	1	15	4	1759	1198	78	85	27.582176	\
5	1	1	1	15	5	1946	1198	78	84	75.123734	Й
5	1	1	1	15	6	2513	1235	51	22	68.170555	2
5	1	1	1	15	7	2805	1235	49	22	66.997734	SN
5	1	1	1	15	8	3345	1198	78	85	27.582176	\
5	1	1	1	15	9	4377	1258	37	17	95.359848	950
5	1	1	1	15	10	4438	1258	37	17	83.533455	900
5	1	1	1	15	11	4499	1258	37	17	90.733978	,950
4	1	1	1	16	0	415	1573	2953	95	-1	
5	1	1	1	16	1	415	1573	1367	95	45.760502	EEE
5	1	1	1	16	2	2001	1573	1367	95	50.842941	TET]
5	1	1	1	16	3	4562	1562	110	38	80.367592	+
4	1	1	1	17	0	415	1669	4106	74	-1	
5	1	1	1	17	1	415	1669	255	74	8.698616	ГО
5	1	1	1	17	2	730	1669	1052	74	0.000000	ВИ
5	1	1	1	17	3	2001	1669	255	74	32.442734	И
5	1	1	1	17	4	2316	1669	737	74	7.896423	ИИ
